FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.25625695,40.23116266,38.628,6,1,Spring,FR1
91.3486313,43.22033869,53.1,340,3,Spring,FR1
91.39843403,45.6758309,45.072,253,2,Spring,FR1
86.96440215,46.72097612,35.424,276,1,Spring,FR1
86.04965919,47.92690109,35.424,108,1,Spring,FR1
79.01396807,48.00644381,22.536,208,1,Spring,FR1
78.08639623,48.03208649,22.536,294,1,Spring,FR1
81.52185516,48.87558725,59.544,338,1,Spring,FR1
83.24887417,49.81930613,40.248,350,1,Spring,FR1
86.69164031,50.92735292,77.256,338,5,Spring,FR1
88.38594663,51.59009285,48.276,353,2,Spring,FR1
84.62757969,51.86054361,32.184,139,1,Spring,FR1
80.49293719,51.90145041,54.72,107,1,Spring,FR1
82.89173672,52.57213689,30.564,323,1,Spring,FR1
87.98513702,54.51499724,30.564,216,1,Spring,FR1
88.03382929,55.88393434,41.832,166,1,Spring,FR1
86.40275401,56.7710018,27.36,75,1,Spring,FR1
87.5849213,58.62010675,41.832,338,1,Spring,FR1
91.42409416,60.60017848,57.924,342,4,Spring,FR1
93.34709405,63.31050539,49.896,299,4,Spring,FR1
89.97359909,64.36186747,57.924,316,4,Spring,FR1
90.02294785,65.93044086,38.628,337,1,Spring,FR1
90.07231291,67.83249865,51.516,320,4,Spring,FR1
83.31131716,68.08868249,59.544,26,2,Spring,FR1
84.72337592,69.18867926,32.184,330,1,Spring,FR1
86.95302905,70.84932095,33.804,353,1,Spring,FR1
88.67725894,73.12572281,24.156,167,1,Spring,FR1
85.38389317,74.21276541,27.36,239,1,Spring,FR1
85.43172664,75.62355571,27.36,305,1,Spring,FR1
86.96868837,77.66273402,25.74,94,1,Spring,FR1
87.01704506,79.22465415,40.248,126,1,Spring,FR1
82.37754205,79.89386383,28.98,42,1,Spring,FR1
85.99418125,81.87970533,48.276,348,2,Spring,FR1
90.52750281,84.59130482,48.276,325,4,Spring,FR1
87.30113959,85.35498587,57.924,348,4,Spring,FR1
87.34960603,86.39211723,46.656,335,2,Spring,FR1
87.39808848,87.89146708,27.36,173,1,Summer,FR1
83.96568351,88.66789686,32.184,157,1,Summer,FR1
84.01304875,89.74410044,28.98,69,1,Summer,FR1
88.27719923,92.32403323,35.424,124,1,Summer,FR1
88.32598793,94.71563846,24.156,80,1,Summer,FR1
88.37479273,97.13296155,22.536,298,1,Summer,FR1
88.42361364,99.73008348,27.36,327,1,Summer,FR1
88.47245067,102.2117626,43.452,18,3,Summer,FR1
85.70549564,103.5248474,41.832,156,1,Summer,FR1
83.62404977,104.5217223,28.98,271,1,Summer,FR1
81.24161722,105.2544864,22.536,243,1,Summer,FR1
81.28808312,106.1383475,30.564,96,1,Summer,FR1
82.90264911,107.5268938,32.184,49,1,Summer,FR1
85.05800519,109.3951371,33.804,359,1,Summer,FR1
87.53633581,111.6678078,49.896,343,3,Summer,FR1
90.56923481,114.373579,51.516,330,4,Summer,FR1
88.58021397,116.1017325,51.516,343,4,Summer,FR1
87.05953395,117.4801524,25.74,186,1,Summer,FR1
80.6122179,118.1565934,30.564,264,1,Summer,FR1
84.72313084,120.1075158,22.536,129,1,Summer,FR1
86.03978427,122.0956364,30.564,42,1,Summer,FR1
90.39097256,125.1917404,38.628,5,3,Summer,FR1
93.02458874,128.6865313,43.452,356,4,Summer,FR1
92.61928502,131.5100381,46.656,5,5,Summer,FR1
92.03363515,134.3874044,43.452,350,4,Summer,FR1
92.08366403,137.7751905,48.276,24,5,Summer,FR1
89.45260997,140.2779255,30.564,164,1,Summer,FR1
87.88155403,142.2895702,33.804,73,1,Summer,FR1
86.47484119,144.018957,19.296,103,1,Summer,FR1
90.09239595,147.364899,54.72,351,5,Summer,FR1
93.5855625,151.1196438,88.524,319,5,Summer,FR1
93.63610375,153.7062865,72.432,348,5,Summer,FR1
90.47993054,155.9868862,27.36,206,2,Summer,FR1
86.52934501,157.9231024,56.34,353,4,Summer,FR1
90.11893373,161.3339632,37.008,360,3,Summer,FR1
87.35982818,163.4625146,45.072,74,3,Summer,FR1
84.84969544,165.021582,41.832,341,1,Summer,FR1
84.89735254,166.7840904,20.916,157,1,Summer,FR1
87.73516928,169.5201204,35.424,91,2,Summer,FR1
87.78377902,171.9970458,37.008,126,2,Summer,FR1
85.69274022,173.8995841,27.36,213,1,Summer,FR1
88.8626492,177.1623183,43.452,347,3,Summer,FR1
94.58758853,181.7292422,38.628,353,5,Summer,FR1
94.66525807,186.3007503,33.804,45,4,Summer,FR1
91.14707229,189.3614797,22.536,203,1,Summer,FR1
90.97458939,192.5035114,25.74,57,2,Summer,FR1
90.88088371,195.589346,33.804,146,3,Summer,FR1
90.30134874,198.5783745,35.424,160,3,Summer,FR1
90.35080571,201.7270939,30.564,52,2,Summer,FR1
91.21110865,205.6175504,38.628,335,4,Summer,FR1
91.26086597,209.0161522,59.544,101,5,Summer,FR1
88.91703471,169.8559633,45.072,133,4,Summer,FR1
87.842139,172.2366811,43.452,130,3,Summer,FR1
87.89078405,174.8142469,46.656,80,4,Summer,FR1
88.79846501,178.1318421,43.452,31,3,Summer,FR1
89.27102176,181.68541,32.184,111,2,Summer,FR1
89.32013856,184.8573674,59.544,114,5,Summer,FR1
90.58679166,188.5698976,37.008,111,3,Summer,FR1
87.78180804,190.8287612,46.656,121,4,Summer,FR1
87.83043318,193.4901907,37.008,131,2,Summer,FR1
87.134498,195.650737,25.74,162,1,Summer,FR1
87.14355803,197.9065664,37.008,21,2,Summer,FR1
89.35486294,201.202151,33.804,111,2,Summer,FR1
89.40400742,204.4126664,43.452,114,4,Summer,FR1
88.5392662,143.6685016,46.656,103,4,Summer,FR1
85.90151572,129.4821635,46.656,24,2,Summer,FR1
85.94952008,131.6603911,38.628,86,1,Summer,FR1
84.07891281,133.0614659,30.564,117,1,Summer,FR1
86.19606028,135.8516848,24.156,96,1,Summer,FR1
86.59205822,138.6750695,30.564,89,1,Summer,FR1
89.41655055,142.7689396,27.36,147,1,Summer,FR1
89.90872674,146.9852638,22.536,143,1,Summer,FR1
89.4925048,150.335846,40.248,105,3,Summer,FR1
89.54169473,153.8424459,25.74,157,1,Summer,FR1
87.63198964,156.3570465,25.74,150,1,Summer,FR1
86.41654162,158.5400869,27.36,188,1,Summer,FR1
85.74591497,160.5419949,24.156,211,1,Summer,FR1
86.78151397,163.5316818,27.36,147,1,Summer,FR1
86.82980886,166.1583275,35.424,140,1,Summer,FR1
87.2418501,169.2401969,22.536,347,1,Summer,FR1
87.29029698,172.0627454,30.564,104,1,Summer,FR1
87.77083892,175.1846391,41.832,4,3,Summer,FR1
86.57921986,149.0457655,48.276,100,3,Summer,FR1
85.99956199,151.095179,37.008,104,1,Summer,FR1
86.04759872,153.307086,28.98,92,1,Summer,FR1
86.09565131,155.7341638,25.74,1,1,Summer,FR1
86.14371977,158.3365757,35.424,133,1,Summer,FR1
83.66305498,159.5594012,40.248,143,1,Summer,FR1
83.39526082,160.7943487,22.536,221,1,Summer,FR1
84.13314824,162.7312372,27.36,360,1,Summer,FR1
84.18056877,164.5585907,56.34,19,3,Summer,FR1
85.06747119,166.706898,37.008,340,1,Summer,FR1
86.02831015,169.1074507,32.184,346,1,Summer,FR1
88.71854671,172.4736689,27.36,276,1,Summer,FR1
89.54208831,176.0310423,37.008,41,3,Summer,FR1
89.59129461,179.1771098,32.184,6,2,Summer,FR1
89.64051715,182.6566059,24.156,100,1,Summer,FR1
89.68975594,186.0540859,27.36,150,1,Summer,FR1
90.53906785,189.9692223,27.36,253,2,Summer,FR1
90.56906459,193.2655389,27.36,312,2,Summer,FR1
90.61860994,196.9245697,37.008,275,3,Summer,FR1
90.66817165,200.2841123,25.74,167,2,Summer,FR1
88.40174985,202.6534975,24.156,185,1,Summer,FR1
88.45057967,205.2315859,35.424,41,2,Summer,FR1
91.22591731,209.4175529,38.628,28,4,Summer,FR1
92.83830505,214.0102312,28.98,2,3,Summer,FR1
