Year	Month	TMax	TMin	PAR	Prec	CO2
1540-1979	1	2.20444597	-10.68943161	146.6819567	39.86383161	338.7516667
1540-1979	2	3.512214916	-9.370483101	179.2015279	39.00154862	338.7516667
1540-1979	3	7.08297697	-6.358690544	223.167659	45.13417526	338.7516667
1540-1979	4	11.18789938	-3.232972082	252.5444254	37.08576112	338.7516667
1540-1979	5	16.16290989	0.77266624	247.5478882	37.64910511	338.7516667
1540-1979	6	22.13391897	5.098649654	236.9884335	31.47596896	338.7516667
1540-1979	7	23.11432013	7.652757283	202.891359	86.62389583	338.7516667
1540-1979	8	21.49583833	7.2413665	193.4961577	107.8819227	338.7516667
1540-1979	9	18.43911455	4.119413042	189.855679	60.99102749	338.7516667
1540-1979	10	12.74576874	-0.99883473	161.4588377	48.85732985	338.7516667
1540-1979	11	6.36988824	-6.079720456	137.7742017	39.46193588	338.7516667
1540-1979	12	2.02437448	-10.16616453	130.5437584	42.3214057	338.7516667
1980	1	2.351591843	-8.6617524	125.0051005	52.9473778	338.7516667
1980	2	3.830880855	-9.337082568	168.8451355	44.6289116	338.7516667
1980	3	3.787353678	-9.454885952	214.0744622	28.7857895	338.7516667
1980	4	8.652074813	-6.102036013	248.5177586	40.3027957	338.7516667
1980	5	13.05390665	-1.888028714	246.0680689	37.42538157	338.7516667
1980	6	23.43826363	5.010415428	243.711447	0	338.7516667
1980	7	26.03950494	6.235652074	239.1212401	8.986474234	338.7516667
1980	8	22.45223581	5.957765935	203.5992194	73.8358619	338.7516667
1980	9	19.3493864	3.601701887	194.4346034	44.4373484	338.7516667
1980	10	13.36996089	-3.634967411	168.9573006	34.253958	338.7516667
1980	11	7.473749067	-7.325293589	139.7550946	22.90021	338.7516667
1980	12	7.79251611	-6.523229268	131.8641529	9.5039192	338.7516667
1981	1	5.363738757	-9.322507745	141.6537061	2	340.1058333
1981	2	6.36080825	-9.515001664	181.3721267	10.3780286	340.1058333
1981	3	4.151363733	-7.706002997	193.9114031	109.3205975	340.1058333
1981	4	13.7509344	-2.601033587	259.1998047	14.5359429	340.1058333
1981	5	14.31490523	-0.642672752	205.0491594	81.51664162	340.1058333
1981	6	23.3976817	4.356124111	239.5801358	26.158756	340.1058333
1981	7	23.15661023	6.725215384	204.8674613	62.0275438	340.1058333
1981	8	20.79289258	5.754384358	185.8479346	113.134492	340.1058333
1981	9	17.75484645	4.022234832	180.9003678	64.6047672	340.1058333
1981	10	11.75271009	-1.710267905	164.1505426	43.1912976	340.1058333
1981	11	8.859963936	-4.82913218	131.9131037	18.8136853	340.1058333
1981	12	4.32016241	-8.627974868	118.6931037	3.7455991	340.1058333
1982	1	0.739171863	-12.22811764	141.1053115	65.0359553	341.4475
1982	2	2.478616121	-12.35632063	184.7610256	88.7799996	341.4475
1982	3	5.052433511	-7.029559176	210.9357334	60.8675226	341.4475
1982	4	10.21606247	-3.221942219	268.8481097	5.301204	341.4475
1982	5	14.21394425	-1.538377087	275.3351604	50.78082267	341.4475
1982	6	21.033611	2.224093115	269.8221351	11.8273846	341.4475
1982	7	24.02097958	6.255155439	210.5284265	94.877495	341.4475
1982	8	21.35833016	6.940673735	187.1863514	155.6192293	341.4475
